binomial,calculated_rarity,output_rarity,justification
"Aphelopus serratus: iso. Olmi: 1994","NR","ID",""
"Aphelopus querceus: iso. Olmi: 1994","NR","ID",""
"Aphelopus nigriceps: iso. Olmi: 1999","NR","ID",""
"Aphelopus melaleucus: iso. Olmi: 1994","NR","NR",""
"Aphelopus camus: iso. Olmi: 1994","NR","ID",""
"Aphelopus atratus: iso. Olmi: 1994","NR","ID",""
"Andrena ampla: iso. Falk et al: 2019","NR","ID",""
"Andrena proxima: iso. Falk et al: 2019","NS","ID","Taxon results from a recent nomenclatural change."
"Andrena pilipes: iso. Else & Edwards: 2018","NS","ID","Taxon results from a recent nomenclatural change."
"Andrena nigrospina: iso. Else & Edwards: 2018","NR","ID",""
"Andrena gravida: iso. Amiet et al: 2010","NS","NS",""
"Andrena flavipes: iso. Perkins: 1919","NF","NF",""
"Andrena haemorrhoa: iso. Amiet et al: 2010","NF","NF",""
"Andrena dorsata: iso. Perkins: 1919","NF","NF",""
"Andrena angustior: iso. Perkins: 1919","NF","NF",""
"Andrena tarsata: iso. Perkins: 1919","NF","NF",""
"Andrena polita: iso. Amiet et al: 2010","NR","ID",""
"Andrena florea: iso. Perkins: 1919","NS","NS",""
"Andrena labiata: iso. Amiet et al: 2010","NF","NF",""
"Andrena tibialis: iso. Perkins: 1919","NF","NF",""
"Andrena bimaculata: iso. Perkins: 1919","NF","NF",""
"Andrena coitana: iso. Perkins: 1919","NF","NF",""
"Andrena nitidiuscula: iso. Perkins: 1919","NS","NS",""
"Andrena chrysosceles: iso. Perkins: 1919","NF","NF",""
"Andrena subopaca: iso. Perkins: 1919","NF","NF",""
"Andrena semilaevis: iso. Amiet et al: 2010","NF","NF",""
"Andrena niveata: iso. Amiet et al: 2010","NR","NR",""
"Andrena minutuloides: iso. Amiet et al: 2010","NF","NF",""
"Andrena minutula: iso. Amiet et al: 2010","NF","NF",""
"Andrena falsifica: iso. Perkins: 1919","NS","NS",""
"Andrena alfkenella: iso. Amiet et al: 2010","NS","NS",""
"Andrena vaga: iso. Perkins: 1919","NR","NR",""
"Andrena thoracica: iso. Perkins: 1919","NF","NF",""
"Andrena nitida: iso. Perkins: 1919","NF","NF",""
"Andrena nigroaenea: iso. Perkins: 1919","NF","NF",""
"Andrena cineraria: iso. Perkins: 1919","NF","NF",""
"Andrena marginata: iso. Perkins: 1919","NS","NS",""
"Andrena barbilabris: iso. Amiet et al: 2010","NF","NF",""
"Andrena argentata: iso. Perkins: 1919","NS","NS",""
"Andrena rosae: iso. Else & Edwards: 2018","NS","NS",""
"Andrena ferox: iso. Perkins: 1919","NR","NR",""
"Andrena bucephala: iso. Perkins: 1919","NF","NF",""
"Andrena labialis: iso. Perkins: 1919","NF","NF",""
"Andrena ruficrus: iso. Perkins: 1919","NS","NS",""
"Andrena bicolor: iso. Amiet et al: 2010","NF","NF",""
"Andrena simillima: iso. Perkins: 1919","NS","NS",""
"Andrena nigriceps: iso. Perkins: 1919","NS","NS",""
"Andrena fuscipes: iso. Perkins: 1919","NF","NF",""
"Andrena denticulata: iso. Perkins: 1919","NF","NF",""
"Andrena fulvago: iso. Perkins: 1919","NF","NF",""
"Andrena humilis: iso. Perkins: 1919","NF","NF",""
"Andrena hattorfiana: iso. Perkins: 1919","NS","NS",""
"Andrena varians: iso. Perkins: 1919","NS","NS",""
"Andrena synadelpha: iso. Perkins: 1919","NF","NF",""
"Andrena praecox: iso. Perkins: 1919","NF","NF",""
"Andrena lapponica: iso. Perkins: 1919","NF","NF",""
"Andrena helvola: iso. Perkins: 1919","NF","NF",""
"Andrena fulva: iso. Perkins: 1919","NF","NF",""
"Andrena fucata: iso. Perkins: 1919","NF","NF",""
"Andrena clarkella: iso. Perkins: 1919","NF","NF",""
"Andrena apicata: iso. Perkins: 1919","NF","NF",""
"Hylaeus annularis: iso. Notton and Dathe: 2008","NR","ID",""
"Hylaeus dilatatus: iso. Notton and Dathe: 2008","NF","NF",""
"Hylaeus hyalinatus: iso. Amiet et al: 1999","NF","NF",""
"Hylaeus signatus: iso. Amiet et al: 1999","NF","NF",""
"Hylaeus pectoralis: iso. Amiet et al: 1999","NS","NS",""
"Hylaeus incongruus: iso. Straka & Bogusch: 2011","NS","NS",""
"Hylaeus confusus: iso. Amiet et al: 1999","NF","NF",""
"Hylaeus brevicornis: iso. Amiet et al: 1999","NF","NF",""
"Hylaeus pictipes: iso. Amiet et al: 1999","NS","NS",""
"Hylaeus communis: iso. Amiet et al: 1999","NF","NF",""
"Hylaeus cornutus: iso. Amiet et al: 1999","NF","NF",""
"Smicromyrme rufipes: iso. Richards: 1980","NS","NS",""
"Anthophora retusa: iso. Amiet et al: 2007","NR","NR",""
"Anthophora bimaculata: iso. Amiet et al: 2007","NF","NF",""
"Anthophora quadrimaculata: iso. Amiet et al: 2007","NS","NS",""
"Anthophora furcata: iso. Amiet et al: 2007","NF","NF",""
"Anthophora plumipes: iso. Amiet et al: 2007","NF","NF",""
"Vespula vulgaris: iso. Archer: 1989","NF","NF",""
"Vespula rufa: iso. Archer: 1989","NF","NF",""
"Vespula germanica: iso. Archer: 1989","NF","NF",""
"Vespula austriaca: iso. Archer: 1989","NS","NS",""
"Myrmica scabrinodis: iso. Seifert: 2007","NS","ID","Modern interpretation change is obscuring data"
"Myrmica sabuleti: iso. Elmes: 1978","NS","NS",""
"Myrmica sabuleti agg: iso. Elmes: 1978","NF","NF",""
"Myrmica lonae: iso. Seifert: 2000","NR","NR",""
"Myrmica vandeli: iso. Seifert: 2007","NR","ID",""
"Myrmica sulcinodis: iso. Bolton & Collingwood: 1975","NS","NS",""
"Myrmica specioides: iso. Seifert: 2007","NS","NS",""
"Myrmica schencki: iso. Bolton & Collingwood: 1975","NS","NS",""
"Myrmica scabrinodis agg: iso. Seifert: 2007","NF","NF",""
"Myrmica ruginodis: iso. Bolton & Collingwood: 1975","NF","NF",""
"Myrmica rubra: iso. Bolton & Collingwood: 1975","NF","NF",""
"Myrmica lobicornis: iso. Bolton & Collingwood: 1975","NS","NF","Under recorded"
"Myrmica karavajevi: iso. Radchenko & Elmes: 2003","NR","ID","Skinner & Jarman (in press) note that this taxon is 'probably more common than currently thought'."
"Myrmica hirsuta: iso. Elmes: 1978","NR","ID",""
"Lasioglossum zonulum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum xanthopus: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum sexnotatum: iso. Amiet et al: 2001","NR","NR",""
"Lasioglossum quadrinotatum: iso. Amiet et al: 2001","NS","NS",""
"Lasioglossum prasinum: iso. Amiet et al: 2001","NS","NS",""
"Lasioglossum leucozonium: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum lativentre: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum laevigatum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum villosulum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum semilucens: iso. Amiet et al: 2001","NS","NS",""
"Lasioglossum rufitarse: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum puncticolle: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum punctatissimum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum pauxillum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum pauperatum: iso. Amiet et al: 2001","NS","NS",""
"Lasioglossum parvulum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum nitidiusculum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum minutissimum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum malachurum: iso. Amiet et al: 2001","NF","NF",""
"Lasioglossum laticeps: iso. Amiet et al: 2001","NR","NR",""
