"Superfamily","Family","Scientific Name","TVK","Rank","Red List Status","Red List Supporting Criteria","Synanthropically Present","Endemic","Category Change","National Rarity","Generational Time","% Population Change","Extent of Occurrence","Area of Occupancy","Hectad","Continuing Decline","Severely Fragmented","Presence England","Presence Scotland","Presence Wales","Rationale"
"Apoidea","Apidae","Andrena afzeliella: iso. Praz et al: 2022","","Species","NE","","false","false","Non-genuine","",1,"","","","","false","false","false","false","false","

This species has undergone a post-assessment nomenclatural change and, due to possible confusion with similar species in the Taeniandrena sub genus, cannot therefore be evaluated."
"Apoidea","Apidae","Andrena agilissima: iso. Amiet et al: 2010","","Species","NA","","false","false","Non-genuine","",1,"","","","","false","false","false","false","false","

"
"Apoidea","Apidae","Andrena alfkenella: iso. Amiet et al: 2010","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NS",1,0.0,60700.0,548.0,98.0,"true","false","true","false","false","The most threatening accepted population change estimate is 33.0% (absolute record count), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (60,700 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (548 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena ampla: iso. Falk et al: 2019","","Species","DD","A2bc
A3b
D2","false","false","Non-genuine","ID",1,0.0,38500.0,32.0,7.0,"false","false","true","false","true","Insufficient data were available to reach a supportable conclusion on the threat status for this taxon.

"
"Apoidea","Apidae","Andrena angustior: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,7.0,199050.0,1376.0,229.0,"true","false","true","true","true","The most threatening accepted population change estimate is 7.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (199,050 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (1,376 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena apicata: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,-9.0,122600.0,640.0,109.0,"true","false","true","false","true","The most threatening accepted population change estimate is -9.0% (absolute record count), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (122,600 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (640 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena argentata: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NS",1,-19.0,44400.0,448.0,32.0,"true","false","true","false","false","The most threatening accepted population change estimate is -19.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (44,400 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (448 km²) is below the 500 km² EN threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena barbilabris: iso. Amiet et al: 2010","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,-26.0,328000.0,2736.0,406.0,"true","false","true","true","true","The most threatening accepted population change estimate is -26.0% (absolute record count), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (328,000 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (2,736 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena bicolor: iso. Amiet et al: 2010","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,3.0,363250.0,9152.0,994.0,"true","false","true","true","true","The most threatening accepted population change estimate is 3.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (363,250 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (9,152 km²) exceeds the 2,000 km² VU threshold for criterion B2 and does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
"Apoidea","Apidae","Andrena bimaculata: iso. Perkins: 1919","","Species","LC","A2bc
B1ab
B2ab
D2","false","false","Non-genuine","NF",1,19.0,95250.0,1036.0,137.0,"true","false","true","false","true","The most threatening accepted population change estimate is 19.0% (discrete Extent of Occurrence), which does not exceed the 30% decline required for qualification as VU under Criterion A. The EoO (95,250 km²) exceeds the 20,000 km² VU threshold for criterion B1 and does not satisfy sufficient subcriteria to reach a threat status, and the AoO (1,036 km²) is below the 2,000 km² VU threshold for criterion B2 but does not satisfy sufficient subcriteria to reach a threat status. For Criterion D2, the number of locations was greater than 5 and there is no plausible threat that could drive the taxon to CR or RE in a very short time. No information was available on population size to inform assessments against Criteria C and D1; nor were any life-history models available to inform an assessment against Criterion E.

"
